gene	region_id	reference_region	comparison_type	observed_counts_per_10000	reference_counts_per_10000	log2_count_ratio	detection_fraction_difference	observed_fraction_q20	reference_fraction_q20	q20_difference	abundance_depletion	quality_degradation	insufficient_quality	evidence_tier	candidate_status	exact_cycle_status	threshold_abs_log2_ratio	threshold_abs_q20_delta	section_candidate_flag	section_evidence_status	gene_set
Rhcg	Region_4	Region_3	WITHIN_MOUSE_TECHNICAL_PAIR	0.486403957938492	1.5721167876722	-1.07085482414758	-0.0233719528340856	0.472573839662447	0.798659673659674	-0.326085833997227	TRUE	TRUE	FALSE	Tier_A	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	DEPLETION_AND_Q20_LOSS	NA
Rhd	Region_1	Region_3	CROSS_MOUSE_DIAGNOSTIC_REFERENCE	0.743700447202667	0.766534589633064	-0.0262474327872169	-0.00675682468105183	0.432077125328659	0.626500461680517	-0.194423336351858	FALSE	TRUE	FALSE	Tier_A	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	Q20_LOSS_ONLY	NA
Slc5a1	Region_4	Region_3	WITHIN_MOUSE_TECHNICAL_PAIR	0.111543764790406	0.755120673329751	-1.03729842524442	-0.0137497438113867	0.491749174917492	0.633782483156882	-0.14203330823939	TRUE	TRUE	FALSE	Tier_A	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	DEPLETION_AND_Q20_LOSS	NA
Mylk	Region_4	Region_3	WITHIN_MOUSE_TECHNICAL_PAIR	4.11523348624277	15.318677143921	-1.77715341646473	-0.116515408954298	0.675347222222222	0.827942624103502	-0.15259540188128	TRUE	TRUE	FALSE	Tier_A	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	DEPLETION_AND_Q20_LOSS	NA
Mamdc2	Region_4	Region_3	WITHIN_MOUSE_TECHNICAL_PAIR	1.95841593591024	5.04975686556077	-1.17469554459185	-0.0495506745151158	0.795622787254586	0.823912864097698	-0.028290076843112	TRUE	FALSE	FALSE	Tier_C	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	DEPLETION_ONLY	NA
Mapk10	Region_1	Region_3	CROSS_MOUSE_DIAGNOSTIC_REFERENCE	1.19836447606019	1.94036577156332	-0.522951300312059	-0.0253138619439662	0.758687258687259	0.753094606542882	0.00559265214437699	TRUE	FALSE	FALSE	Tier_C	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	DEPLETION_ONLY	NA
Mapk10	Region_4	Region_3	WITHIN_MOUSE_TECHNICAL_PAIR	0.411431919308875	1.94036577156332	-1.42089059950517	-0.0319113132653581	0.746200607902736	0.753094606542882	-0.00689399864014595	TRUE	FALSE	FALSE	Tier_C	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	DEPLETION_ONLY	NA
Marco	Region_4	Region_3	WITHIN_MOUSE_TECHNICAL_PAIR	0.29531668874837	7.27667200958096	-3.28955154313514	-0.0310058196128572	0.697749196141479	0.673250832936697	0.024498363204782	TRUE	FALSE	FALSE	Tier_C	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	DEPLETION_ONLY	NA
Sox17	Region_1	Region_3	CROSS_MOUSE_DIAGNOSTIC_REFERENCE	2.83840258015341	5.05936858455303	-0.73576309479634	-0.0543685858830335	0.827306596537366	0.811731742588576	0.01557485394879	TRUE	FALSE	FALSE	Tier_C	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	DEPLETION_ONLY	NA
Wnt3	Region_4	Region_3	WITHIN_MOUSE_TECHNICAL_PAIR	0.177372871879826	0.460761779191662	-0.504228549751035	-0.00618413540213433	0.460496613995485	0.634509803921569	-0.174013189926084	TRUE	TRUE	FALSE	Tier_A	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	DEPLETION_AND_Q20_LOSS	NA
Pvalb	Region_4	Region_3	WITHIN_MOUSE_TECHNICAL_PAIR	0.0832006770157947	0.88247594997725	-1.24519008351468	-0.0172555924008172	0.705128205128205	0.853631284916201	-0.148503079787996	TRUE	TRUE	FALSE	Tier_A	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	DEPLETION_AND_Q20_LOSS	NA
Mfap4	Region_4	Region_3	WITHIN_MOUSE_TECHNICAL_PAIR	0.553147358181932	2.11818257292021	-1.31385838895223	-0.0317560519335633	0.781407035175879	0.761904761904762	0.019502273271117	TRUE	FALSE	FALSE	Tier_C	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	DEPLETION_ONLY	NA
Mgat4c	Region_1	Region_3	CROSS_MOUSE_DIAGNOSTIC_REFERENCE	1.00837986400187	1.04887883503082	-0.0382244934915803	-0.0093280768807183	0.364039665970772	0.662011173184358	-0.297971507213586	FALSE	TRUE	FALSE	Tier_A	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	Q20_LOSS_ONLY	NA
Mgat4c	Region_2	Region_3	CROSS_MOUSE_DIAGNOSTIC_REFERENCE	1.15863127282682	1.04887883503082	0.0987689090706349	-0.0048507488165549	0.492432242168251	0.662011173184358	-0.169578931016107	FALSE	TRUE	FALSE	Tier_A	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	Q20_LOSS_ONLY	NA
Mgat4c	Region_4	Region_3	WITHIN_MOUSE_TECHNICAL_PAIR	0.082286383861775	1.04887883503082	-1.41142350165422	-0.0207444084414718	0.0673244341265235	0.662011173184358	-0.594686739057835	TRUE	TRUE	FALSE	Tier_A	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	DEPLETION_AND_Q20_LOSS	NA
Mgll	Region_1	Region_3	CROSS_MOUSE_DIAGNOSTIC_REFERENCE	91.1812471872738	117.840876310032	-0.368249908280817	-0.141805207804623	0.804552205139013	0.862158715235769	-0.057606510096756	FALSE	TRUE	FALSE	Tier_A	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	Q20_LOSS_ONLY	NA
Mgll	Region_2	Region_3	CROSS_MOUSE_DIAGNOSTIC_REFERENCE	113.848535468865	117.840876310032	-0.0495105949498115	-0.036758683494421	0.767471102507007	0.862158715235769	-0.094687612728762	FALSE	TRUE	FALSE	Tier_A	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	Q20_LOSS_ONLY	NA
Mgll	Region_4	Region_3	WITHIN_MOUSE_TECHNICAL_PAIR	55.1419344120834	117.840876310032	-1.08870400166385	-0.147654561087496	0.700048838905206	0.862158715235769	-0.162109876330563	TRUE	TRUE	FALSE	Tier_A	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	DEPLETION_AND_Q20_LOSS	NA
Mlc1	Region_4	Region_3	WITHIN_MOUSE_TECHNICAL_PAIR	0.0960007811720708	0.616952212815954	-0.906181336795207	-0.0110989815389107	0.330601092896175	0.552200614124872	-0.221599521228697	TRUE	TRUE	FALSE	Tier_A	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	DEPLETION_AND_Q20_LOSS	NA
Mmp8	Region_4	Region_3	WITHIN_MOUSE_TECHNICAL_PAIR	0.470860974320157	1.14799968713855	-0.763379344622819	-0.0145729751239278	0.317626527050611	0.682096664397549	-0.364470137346938	TRUE	TRUE	FALSE	Tier_A	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	DEPLETION_AND_Q20_LOSS	NA
Mmrn1	Region_2	Region_3	CROSS_MOUSE_DIAGNOSTIC_REFERENCE	1.21261076640278	4.57758117006579	-1.56794409741331	-0.0420424459245896	0.788104089219331	0.712229695523252	0.075874393696079	TRUE	FALSE	FALSE	Tier_A	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	DEPLETION_ONLY	NA
Mmrn1	Region_4	Region_3	WITHIN_MOUSE_TECHNICAL_PAIR	1.63475615938726	4.57758117006579	-1.25007010888095	-0.0363791547897049	0.639846743295019	0.712229695523252	-0.072382952228233	TRUE	TRUE	FALSE	Tier_A	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	DEPLETION_AND_Q20_LOSS	NA
Mpeg1	Region_2	Region_3	CROSS_MOUSE_DIAGNOSTIC_REFERENCE	14.7942369179251	28.7642705492244	-0.936152190353103	-0.100636397729597	0.925976296871964	0.803413781042323	0.122562515829641	TRUE	FALSE	FALSE	Tier_C	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	DEPLETION_ONLY	NA
Rasd1	Region_2	Region_3	CROSS_MOUSE_DIAGNOSTIC_REFERENCE	18.6316005594589	29.2520652880818	-0.637032243587375	-0.115393819906269	0.786526172008391	0.754766647694935	0.0317595243134561	TRUE	FALSE	FALSE	Tier_C	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	DEPLETION_ONLY	NA
Mpo	Region_4	Region_3	WITHIN_MOUSE_TECHNICAL_PAIR	0.108800885328347	0.866256174177805	-1.16618565357397	-0.0151785461370126	0.741573033707865	0.817192600652884	-0.075619566945019	TRUE	TRUE	FALSE	Tier_A	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	DEPLETION_AND_Q20_LOSS	NA
Mrgpra2a	Region_1	Region_3	CROSS_MOUSE_DIAGNOSTIC_REFERENCE	1.45411299229255	1.9505782229926	-0.326608308232977	-0.022839041199125	0.648241206030151	0.76621085134539	-0.117969645315239	FALSE	TRUE	FALSE	Tier_A	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	Q20_LOSS_ONLY	NA
Mrgpra2a	Region_4	Region_3	WITHIN_MOUSE_TECHNICAL_PAIR	0.472689560628196	1.9505782229926	-1.3330708593214	-0.0315485979797185	0.411808118081181	0.76621085134539	-0.354402733264209	TRUE	TRUE	FALSE	Tier_A	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	DEPLETION_AND_Q20_LOSS	NA
Ms4a6b	Region_4	Region_3	WITHIN_MOUSE_TECHNICAL_PAIR	10.430256301057	21.1391737261739	-0.985318181278437	-0.109544447435791	0.827450012342631	0.807632430660822	0.019817581681809	TRUE	FALSE	FALSE	Tier_C	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	DEPLETION_ONLY	NA
Ms4a7	Region_4	Region_3	WITHIN_MOUSE_TECHNICAL_PAIR	10.0627104531411	9.47475199662436	0.082627209163889	-0.0045098314629111	0.758544979824353	0.818682016337241	-0.060137036512888	FALSE	TRUE	FALSE	Tier_C	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	Q20_LOSS_ONLY	NA
S100a14	Region_2	Region_3	CROSS_MOUSE_DIAGNOSTIC_REFERENCE	1.33020894883612	2.04309101829314	-0.474574732031026	-0.0231097142533532	0.679550561797753	0.789006708504653	-0.1094561467069	FALSE	TRUE	FALSE	Tier_A	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	Q20_LOSS_ONLY	NA
Muc1	Region_2	Region_3	CROSS_MOUSE_DIAGNOSTIC_REFERENCE	0.661248796305489	1.32341355874737	-0.650964707310313	-0.017968075618274	0.731793960923623	0.704558404558405	0.027235556365218	TRUE	FALSE	FALSE	Tier_C	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	DEPLETION_ONLY	NA
Muc1	Region_4	Region_3	WITHIN_MOUSE_TECHNICAL_PAIR	0.845721167468243	1.32341355874737	-0.438262293032266	-0.0105908560408502	0.548889938592348	0.704558404558405	-0.155668465966057	FALSE	TRUE	FALSE	Tier_C	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	Q20_LOSS_ONLY	NA
Mustn1	Region_1	Region_3	CROSS_MOUSE_DIAGNOSTIC_REFERENCE	5.56963435350469	9.79854678017626	-0.762759260733815	-0.0812321981144151	0.648475591846326	0.75165072508485	-0.103175133238524	TRUE	TRUE	FALSE	Tier_C	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	DEPLETION_AND_Q20_LOSS	NA
Retn	Region_1	Region_3	CROSS_MOUSE_DIAGNOSTIC_REFERENCE	51.3096475566233	104.108132799835	-1.01370234425907	-0.209213581935766	0.932576106698474	0.845728861895596	0.086847244802878	TRUE	FALSE	FALSE	Tier_A	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	DEPLETION_ONLY	NA
Retn	Region_2	Region_3	CROSS_MOUSE_DIAGNOSTIC_REFERENCE	125.083981488889	104.108132799835	0.263657438230919	0.00802335465116599	0.741923811513325	0.845728861895596	-0.103805050382271	FALSE	TRUE	FALSE	Tier_A	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	Q20_LOSS_ONLY	NA
Oit3	Region_4	Region_3	WITHIN_MOUSE_TECHNICAL_PAIR	0.236801926891108	0.998417310321436	-1.02409073188913	-0.0163735638216945	0.289855072463768	0.707034372501998	-0.41717930003823	TRUE	TRUE	FALSE	Tier_A	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	DEPLETION_AND_Q20_LOSS	NA
Omp	Region_2	Region_3	CROSS_MOUSE_DIAGNOSTIC_REFERENCE	0.7576407491197	1.64540614498822	-0.770530920359771	-0.0232579595990475	0.678685897435897	0.680644397062308	-0.00195849962641093	TRUE	FALSE	FALSE	Tier_A	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	DEPLETION_ONLY	NA
Thbs4	Region_1	Region_3	CROSS_MOUSE_DIAGNOSTIC_REFERENCE	1.27468308090414	1.81120829760477	-0.381085874294515	-0.0151835749447636	0.679528403001072	0.798495323302155	-0.118966920301083	FALSE	TRUE	FALSE	Tier_C	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	Q20_LOSS_ONLY	NA
Rgs5	Region_1	Region_3	CROSS_MOUSE_DIAGNOSTIC_REFERENCE	20.3039964886947	36.0385396290573	-0.812558273989692	-0.134411489171645	0.850367081262457	0.789683445263089	0.060683635999368	TRUE	FALSE	FALSE	Tier_C	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	DEPLETION_ONLY	NA
Rhcg	Region_2	Region_3	CROSS_MOUSE_DIAGNOSTIC_REFERENCE	2.00688045759188	1.5721167876722	0.274787884039783	-0.0034063119107013	0.742393509127789	0.798659673659674	-0.056266164531885	FALSE	TRUE	FALSE	Tier_A	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	Q20_LOSS_ONLY	NA
Pax8	Region_4	Region_3	WITHIN_MOUSE_TECHNICAL_PAIR	0.169144233493649	0.967179223596578	-1.1326559932638	-0.0170860066625428	0.332278481012658	0.620765027322404	-0.288486546309746	TRUE	TRUE	FALSE	Tier_A	CANDIDATE_NOT_CONFIRMED	REQUIRES_10X_DIAGNOSTICS	0.5	0.05	TRUE	DEPLETION_AND_Q20_LOSS	NA
